200.0,986.0
201.0,995.511
202.0,1021.1539
203.0,1008.5257
204.0,978.1959
205.0,955.2565
206.0,945.1564
207.0,941.9573
208.0,899.3033
209.0,900.7725
210.0,898.8863
211.0,883.5276
212.0,900.9052
213.0,884.2229
214.0,870.5628
215.0,866.5739
216.0,867.2854
217.0,834.0838
218.0,846.6519
219.0,833.6313
220.0,811.4478
221.0,809.193
222.0,799.6994
223.0,816.1867
224.0,821.5899
225.0,804.8354
226.0,768.5701
227.0,787.5724
228.0,790.7854
229.0,790.0
230.0,795.7573
231.0,819.548
232.0,771.8051
233.0,755.7229
234.0,758.3394
235.0,763.8368
236.0,752.7433
237.0,726.8438
238.0,732.9097
239.0,751.8525
240.0,762.3431
241.0,751.2232
242.0,754.2347
243.0,751.0079
244.0,753.0286
245.0,768.0968
246.0,750.6365
247.0,754.7381
248.0,753.318
249.0,755.3614
250.0,774.5143
251.0,753.8794
252.0,765.479
253.0,747.6038
254.0,720.1176
255.0,740.0604
256.0,741.6489
257.0,734.5692
258.0,720.0446
259.0,703.4722
260.0,694.2337
261.0,727.62
262.0,728.8496
263.0,721.6497
264.0,715.3715
265.0,704.2339
266.0,702.4411
267.0,704.3044
268.0,715.6802
269.0,724.2723
270.0,687.6481
271.0,716.4625
272.0,700.3264
273.0,683.543
274.0,691.8101
275.0,701.3871
276.0,679.6255
277.0,704.5578
278.0,726.5646
279.0,713.2568
280.0,697.3078
281.0,681.3589
282.0,673.8803
283.0,669.378
284.0,666.508
285.0,682.4824
286.0,639.2552
287.0,648.0192
288.0,670.7241
289.0,668.0
290.0,668.0
291.0,660.8594
292.0,658.0
293.0,652.3885
294.0,646.4393
295.0,692.7652
296.0,675.2928
297.0,671.0879
298.0,668.608
299.0,650.9209
300.0,642.9273
301.0,633.5136
302.0,656.3533
303.0,667.281
304.0,636.3584
305.0,653.9584
306.0,633.3515
307.0,609.776
308.0,607.0969
309.0,630.0385
310.0,615.6154
311.0,605.4684
312.0,594.8317
313.0,598.6437
314.0,613.5734
315.0,554.231
316.0,560.9087
317.0,559.7788
318.0,550.8003
319.0,544.9744
320.0,551.3846
321.0,521.5281
322.0,515.2767
323.0,511.4306
324.0,495.3162
325.0,503.3419
326.0,480.4048
327.0,478.4763
328.0,488.106
329.0,489.894
330.0,456.159
331.0,467.5108
332.0,449.8457
333.0,436.2926
334.0,445.9358
335.0,455.5666
336.0,439.1109
337.0,425.9984
338.0,432.7739
339.0,446.4434
340.0,412.7084
341.0,415.1504
342.0,416.0
343.0,412.827
344.0,406.3923
345.0,400.0193
346.0,403.2373
347.0,405.2287
348.0,395.9324
349.0,381.1007
350.0,378.3057
351.0,386.3508
352.0,395.6812
353.0,400.0
354.0,395.9774
355.0,385.6019
356.0,408.1644
357.0,402.629
358.0,383.7488
359.0,373.6129
360.0,387.129
361.0,379.0645
362.0,369.6
363.0,385.2452
364.0,396.4843
365.0,381.4431
366.0,391.1283
367.0,378.7797
368.0,381.5819
369.0,405.4194
370.0,431.7964
371.0,399.4863
372.0,405.6998
373.0,411.4653
374.0,417.8561
375.0,427.4895
376.0,442.0162
377.0,450.1002
378.0,447.0565
379.0,445.7041
380.0,450.3463
381.0,459.7462
382.0,492.0825
383.0,478.1699
384.0,485.848
385.0,511.5663
386.0,528.6235
387.0,552.915
388.0,560.2379
389.0,591.9158
390.0,618.699
391.0,620.8389
392.0,649.9887
393.0,668.5981
394.0,676.2593
395.0,687.7553
396.0,706.9692
397.0,719.9352
398.0,761.9287
399.0,757.1994
400.0,758.2496
401.0,759.6431
402.0,721.3625
403.0,744.0714
404.0,729.2198
405.0,718.0714
406.0,694.8442
407.0,639.9935
408.0,609.1744
409.0,610.3685
410.0,597.9659
411.0,576.862
412.0,551.1756
413.0,507.2732
414.0,487.0844
415.0,478.3981
416.0,465.2705
417.0,440.5491
418.0,407.7754
419.0,402.8934
420.0,395.3631
421.0,382.4715
422.0,372.0
423.0,368.101
424.0,337.1564
425.0,334.0
426.0,329.6553
427.0,321.7164
428.0,314.3431
429.0,315.9691
430.0,303.2182
431.0,303.6762
432.0,310.2706
433.0,313.5834
434.0,304.671
435.0,285.127
436.0,283.3703
437.0,280.0
438.0,276.0
439.0,278.5938
440.0,294.907
441.0,299.0416
442.0,293.0897
443.0,288.0
444.0,284.6982
445.0,272.6171
446.0,295.4743
447.0,300.0
448.0,307.5233
449.0,316.0
450.0,318.449
451.0,338.0408
452.0,326.7647
453.0,345.1771
454.0,360.3154
455.0,355.8531
456.0,364.0687
457.0,398.4105
458.0,421.2745
459.0,445.4293
460.0,472.1373
461.0,497.0049
462.0,524.8282
463.0,562.7451
464.0,607.4206
465.0,647.6713
466.0,675.9067
467.0,693.91
468.0,695.6271
469.0,675.7674
470.0,642.3568
471.0,603.0663
472.0,563.2236
473.0,518.9975
474.0,490.7725
475.0,449.2951
476.0,419.0844
477.0,404.4525
478.0,361.8821
479.0,332.398
480.0,318.2984
481.0,318.6185
482.0,319.4885
483.0,304.338
484.0,274.8056
485.0,288.3331
486.0,289.5016
487.0,279.8785
488.0,270.8144
489.0,273.8525
490.0,268.9344
491.0,258.682
492.0,254.0
493.0,251.539
494.0,248.5637
495.0,264.9975
496.0,264.4569
497.0,268.75
498.0,275.3235
499.0,274.3205
500.0,257.1678
501.0,273.6151
502.0,271.7812
503.0,268.9499
504.0,265.9178
505.0,267.0864
506.0,291.7778
507.0,293.6313
508.0,292.7226
509.0,303.9951
510.0,313.4568
511.0,304.9984
512.0,328.0626
513.0,334.5235
514.0,338.3097
515.0,340.0
